"","F074.IPC.VAR.Z.Z.C.M","F074.IPCSAE.VAR.Z.Z.C.M"
"englishTitle","Historical Headline CPI, monthly variation","Historical IPCSAE, monthly variation"
"frequency","MONTHLY","MONTHLY"
"observed","AVERAGED","AVERAGED"
"01-04-1994","0.5","1.0"
"01-05-1994","1.4","1.2"
"01-06-1994","0.5","0.5"
"01-07-1994","0.6","0.3"
"01-08-1994","1.1","0.4"
"01-09-1994","0.5","0.6"
"01-10-1994","0.6","0.8"
"01-11-1994","0.6","0.3"
"01-12-1994","0.3","0.9"
"01-01-1995","0.6","0.7"
"01-02-1995","0.5","0.7"
"01-03-1995","0.6","0.9"
"01-04-1995","0.6","0.7"
"01-05-1995","0.6","0.6"
"01-06-1995","0.7","0.4"
"01-07-1995","0.8","0.2"
"01-08-1995","1.6","0.9"
"01-09-1995","0.6","0.5"
"01-10-1995","0.8","0.5"
"01-11-1995","0.1","0.5"
"01-12-1995","0.3","0.6"
"01-01-1996","0.3","0.7"
"01-02-1996","0.5","1.0"
"01-03-1996","0.7","0.8"
"01-04-1996","1.0","0.6"
"01-05-1996","0.8","0.5"
"01-06-1996","0.4","0.4"
"01-07-1996","0.3","0.4"
"01-08-1996","0.4","0.4"
"01-09-1996","0.5","0.4"
"01-10-1996","0.7","0.6"
"01-11-1996","0.4","0.4"
"01-12-1996","0.4","0.7"
"01-01-1997","0.5","0.2"
"01-02-1997","0.8","0.5"
"01-03-1997","0.3","0.9"
"01-04-1997","0.3","0.3"
"01-05-1997","0.2","0.3"
"01-06-1997","0.2","0.4"
"01-07-1997","0.6","0.4"
"01-08-1997","0.4","0.2"
"01-09-1997","0.9","0.3"
"01-10-1997","1.2","0.3"
"01-11-1997","0.1","0.2"
"01-12-1997","0.1","0.9"
"01-01-1998","0.7","0.7"
"01-02-1998","-0.1"," 0.6"
"01-03-1998","0.4","1.0"
"01-04-1998","0.4","1.2"
"01-05-1998","0.2","0.7"
"01-06-1998","0.3","0.4"
"01-07-1998","0.4","0.4"
"01-08-1998","0.3","0.2"
"01-09-1998","0.5","0.3"
"01-10-1998","0.8","0.6"
"01-11-1998","0.1","0.4"
"01-12-1998","0.5","1.0"
"01-01-1999","-0.3"," 0.1"
"01-02-1999","0.1","0.3"
"01-03-1999","0.6","0.8"
"01-04-1999","0.4","0.3"
"01-05-1999","0.1","0.1"
"01-06-1999","0.1","0.2"
"01-07-1999"," 0.1","-0.1"
"01-08-1999"," 0.2","-0.1"
"01-09-1999","0.2","0.1"
"01-10-1999","0.4","0.1"
"01-11-1999","0.2","0.1"
"01-12-1999","0.3","0.2"
"01-01-2000","0.2","0.0"
"01-02-2000","0.6","1.0"
"01-03-2000","0.7","1.0"
"01-04-2000","0.5","0.2"
"01-05-2000","0.2","0.0"
"01-06-2000","0.2","0.3"
"01-07-2000"," 0.1","-0.1"
"01-08-2000","0.3","0.2"
"01-09-2000","0.6","0.5"
"01-10-2000","0.6","0.2"
"01-11-2000","0.3","0.3"
"01-12-2000","0.1","0.4"
"01-01-2001","0.3","0.2"
